## location: Kiefersfelden
## highway: A93
## id: 9191
date,pkw,lkw,mot,various,total
2010-01-01,28691,902,104,4282,33979
2010-01-02,62243,2263,112,11711,76329
2010-01-03,53175,1750,216,8478,63619
2010-01-04,34269,4531,187,11978,50965
2010-01-05,36784,5689,195,14166,56834
2010-01-06,34784,2471,162,7790,45207
2010-01-07,24956,6736,161,14826,46679
2010-01-08,32603,6377,133,14676,53789
2010-01-09,45873,5657,193,15125,66848
2010-01-10,33566,1970,136,6909,42581
2010-01-11,18567,7335,173,15394,41469
2010-01-12,18280,9207,151,18891,46529
2010-01-13,21764,9612,126,20059,51561
2010-01-14,23491,9005,149,18981,51626
2010-01-15,34855,7744,228,17838,60665
2010-01-16,51471,6355,188,16766,74780
2010-01-17,35622,1920,155,7116,44813
2010-01-18,21425,8017,144,17099,46685
2010-01-19,20967,9306,123,19532,49928
2010-01-20,25526,9859,148,20790,56323
2010-01-21,23324,9111,127,20559,53121
2010-01-22,36399,8070,154,19076,63699
2010-01-23,57186,6381,190,17031,80788
2010-01-24,41725,1895,155,8048,51823
2010-01-25,22547,8012,129,17041,47729
2010-01-26,18619,9030,152,18582,46383
2010-01-27,24901,9861,184,21107,56053
2010-01-28,21346,8580,351,18033,48310
2010-01-29,37800,7919,426,18989,65134
2010-01-30,58484,6591,198,18012,83285
2010-01-31,44948,1987,536,8199,55670
2010-02-01,22175,8162,170,17378,47885
2010-02-02,20115,9072,141,19195,48523
2010-02-03,17868,9361,87,20994,48310
2010-02-04,26030,9285,159,20270,55744
2010-02-05,39605,7993,220,19075,66893
2010-02-06,56232,6739,128,19395,82494
2010-02-07,42122,1922,138,8101,52283
2010-02-08,24076,7984,120,17731,49911
2010-02-09,23260,9065,126,19345,51796
2010-02-10,22914,9399,148,19546,52007
2010-02-11,22391,8791,133,18489,49804
2010-02-12,40744,8053,217,19550,68564
2010-02-13,61905,6401,159,19222,87687
2010-02-14,44535,1809,223,7052,53619
2010-02-15,26446,7914,176,17180,51716
2010-02-16,28670,8777,172,19455,57074
2010-02-17,33485,9650,196,21449,64780
2010-02-18,30656,9043,207,20474,60380
2010-02-19,49170,8122,227,20823,78342
2010-02-20,63460,8128,119,22614,94321
2010-02-21,50862,1866,184,8679,61591
2010-02-22,22874,8406,147,18284,49711
2010-02-23,20924,9218,126,19707,49975
2010-02-24,25131,9881,144,21116,56272
2010-02-25,27205,9231,170,20048,56654
2010-02-26,45097,8265,242,19469,73073
2010-02-27,63857,6589,132,18787,89365
2010-02-28,50139,1955,193,8923,61210
2010-03-01,24071,8402,167,18449,51089
2010-03-02,20990,9453,113,20202,50758
2010-03-03,26870,9795,121,21427,58213
2010-03-04,25534,9471,105,21880,56990
2010-03-05,39683,8230,230,19473,67616
2010-03-06,52578,6398,156,16234,75366
2010-03-07,49032,2234,215,9375,60856
2010-03-08,24954,8745,191,18689,52579
2010-03-09,22318,9588,155,20082,52143
2010-03-10,25553,9926,162,21499,57140
2010-03-11,25539,9328,165,20165,55197
2010-03-12,39317,8271,239,19697,67524
2010-03-13,58119,6484,181,18187,82971
2010-03-14,42523,2036,125,8864,53548
2010-03-15,21285,8486,97,19250,49118
2010-03-16,19545,9694,101,20835,50175
2010-03-17,27354,10216,156,21955,59681
2010-03-18,28685,9407,151,21059,59302
2010-03-19,37746,8364,186,20639,66935
2010-03-20,59498,6407,187,18869,84961
2010-03-21,41528,2001,164,8151,51844
2010-03-22,23011,8617,167,18543,50338
2010-03-23,21517,9644,120,20646,51927
2010-03-24,25275,9868,142,21739,57024
2010-03-25,26587,9280,163,21142,57172
2010-03-26,37431,8460,237,21633,67761
2010-03-27,56489,6449,245,19161,82344
2010-03-28,38469,1964,194,8210,48837
2010-03-29,25118,8539,162,19407,53226
2010-03-30,24316,9730,138,21636,55820
2010-03-31,29273,9545,191,22075,61084
2010-04-01,39089,9153,189,23826,72257
2010-04-02,47268,3050,210,11828,62356
2010-04-03,44596,4368,147,14444,63555
2010-04-04,29737,1014,135,5862,36748
2010-04-05,41580,1910,176,8459,52125
2010-04-06,33216,8054,191,19672,61133
2010-04-07,26413,9244,161,21125,56943
2010-04-08,26219,10039,162,22820,59240
2010-04-09,33031,8560,220,21041,62852
2010-04-10,38767,6512,202,17198,62679
2010-04-11,30791,1843,164,7215,40013
2010-04-12,21707,8467,164,18468,48806
2010-04-13,19402,9913,115,20938,50368
2010-04-14,21081,10084,123,21331,52619
2010-04-15,23590,9579,169,20568,53906
2010-04-16,28904,8337,202,19243,56686
2010-04-17,30807,5849,255,14545,51456
2010-04-18,30796,1940,209,7560,40505
2010-04-19,23789,8555,171,18655,51170
2010-04-20,22101,9820,190,20804,52915
2010-04-21,23306,10040,229,21586,55161
2010-04-22,24955,9655,207,21320,56137
2010-04-23,29988,8286,231,19655,58160
2010-04-24,28377,5633,261,14205,48476
2010-04-25,29730,1823,272,7091,38916
2010-04-26,21447,8631,163,18950,49191
2010-04-27,19891,9871,165,20914,50841
2010-04-28,20876,10139,163,21810,52988
2010-04-29,24696,9269,182,20723,54870
2010-04-30,30875,8497,267,20290,59929
2010-05-01,25227,1980,213,6885,34305
2010-05-02,30026,1876,234,7153,39289
2010-05-03,23077,9524,170,20819,53590
2010-05-04,20558,9165,172,19199,49094
2010-05-05,21848,9941,163,20913,52865
2010-05-06,23510,9482,217,20217,53426
2010-05-07,28103,8629,193,19533,56458
2010-05-08,29051,5792,268,14532,49643
2010-05-09,28028,1798,206,6848,36880
2010-05-10,21985,8582,217,18799,49583
2010-05-11,20525,9698,170,21161,51554
2010-05-12,31487,10582,266,24921,67256
2010-05-13,29285,2456,467,9198,41406
2010-05-14,27383,9168,304,20216,57071
2010-05-15,29698,5270,399,13704,49071
2010-05-16,36392,1934,660,7926,46912
