## location: Lindau
## highway: A96
## id: 9250
date,pkw,lkw,mot,various,total
2010-01-01,13721,275,301,2419,16716
2010-01-02,26807,1209,353,6089,34458
2010-01-03,27106,656,534,4676,32972
2010-01-04,18146,2628,392,6983,28149
2010-01-05,18570,2878,375,7491,29314
2010-01-06,17262,866,385,3956,22469
2010-01-07,16220,3567,395,8330,28512
2010-01-08,18402,3084,418,7735,29639
2010-01-09,21731,1313,490,5092,28626
2010-01-10,16747,507,323,2929,20506
2010-01-11,11938,3951,331,8457,24677
2010-01-12,11642,4352,319,9018,25331
2010-01-13,12794,4564,325,9564,27247
2010-01-14,14561,4411,338,9755,29065
2010-01-15,19105,4045,496,9622,33268
2010-01-16,22528,1553,493,5712,30286
2010-01-17,17240,593,349,3187,21369
2010-01-18,13886,4720,323,10017,28946
2010-01-19,13402,4758,366,10041,28567
2010-01-20,14245,4906,375,10499,30025
2010-01-21,14641,4580,385,10014,29620
2010-01-22,20650,4229,504,10080,35463
2010-01-23,22763,1672,400,5994,30829
2010-01-24,18681,567,385,3393,23026
2010-01-25,14138,4578,356,9688,28760
2010-01-26,12206,4579,309,9597,26691
2010-01-27,14784,5038,394,10878,31094
2010-01-28,12278,4131,328,8881,25618
2010-01-29,19204,4102,537,9735,33578
2010-01-30,22563,1613,525,5638,30339
2010-01-31,19156,622,450,3456,23684
2010-02-01,13305,4367,334,9259,27265
2010-02-02,12817,4631,314,9740,27502
2010-02-03,12808,4604,347,9819,27578
2010-02-04,15167,4664,380,10254,30465
2010-02-05,19775,4051,546,9710,34082
2010-02-06,22097,1592,546,5680,29915
2010-02-07,19120,601,452,3439,23612
2010-02-08,15415,4563,353,9848,30179
2010-02-09,14598,4909,327,10477,30311
2010-02-10,13969,4715,383,9937,29004
2010-02-11,14206,4317,315,9499,28337
2010-02-12,19676,4238,452,10390,34756
2010-02-13,20767,1726,200,6368,29061
2010-02-14,17526,425,451,3313,21715
2010-02-15,14962,4289,327,9354,28932
2010-02-16,16799,4428,394,10046,31667
2010-02-17,16974,4820,444,10791,33029
2010-02-18,16414,4791,344,10518,32067
2010-02-19,23350,4282,560,10711,38903
2010-02-20,25076,2001,285,7153,34515
2010-02-21,22955,588,481,3938,27962
2010-02-22,15207,4709,338,10085,30339
2010-02-23,13900,4982,347,10385,29614
2010-02-24,15290,5072,389,10754,31505
2010-02-25,16758,4943,385,10884,32970
2010-02-26,23648,4487,564,11009,39708
2010-02-27,24691,2107,306,7076,34180
2010-02-28,23859,663,454,4130,29106
2010-03-01,15708,4775,344,10377,31204
2010-03-02,14047,5051,352,10688,30138
2010-03-03,16154,5229,420,11394,33197
2010-03-04,17026,4957,414,11147,33544
2010-03-05,23584,4569,571,11303,40027
2010-03-06,22238,1803,296,6200,30537
2010-03-07,23958,721,427,4452,29558
2010-03-08,15253,4720,297,10139,30409
2010-03-09,14216,5208,347,11073,30844
2010-03-10,15442,5162,388,11282,32274
2010-03-11,15539,4958,403,11020,31920
2010-03-12,22583,4492,566,11112,38753
2010-03-13,25877,1813,501,6711,34902
2010-03-14,21794,623,394,3848,26659
2010-03-15,15445,4829,316,10459,31049
2010-03-16,13940,5291,330,11139,30700
2010-03-17,16579,5258,394,11641,33872
2010-03-18,18276,5159,343,11439,35217
2010-03-19,23323,4489,509,11265,39586
2010-03-20,25339,1754,583,6718,34394
2010-03-21,21201,699,473,4147,26520
2010-03-22,15249,4952,348,10765,31314
2010-03-23,15024,5273,363,11099,31759
2010-03-24,16413,5422,396,11659,33890
2010-03-25,17420,5224,385,11625,34654
2010-03-26,23312,4804,520,11646,40282
2010-03-27,23123,1981,346,7139,32589
2010-03-28,20509,666,495,3984,25654
2010-03-29,16396,5111,379,11110,32996
2010-03-30,16100,5441,346,11729,33616
2010-03-31,19624,5636,428,12617,38305
2010-04-01,26346,5303,634,13041,45324
2010-04-02,23682,1447,306,5980,31415
2010-04-03,24890,1246,552,5927,32615
2010-04-04,17694,324,387,2910,21315
2010-04-05,26001,695,542,4460,31698
2010-04-06,21265,5027,397,11780,38469
2010-04-07,17825,5540,381,12188,35934
2010-04-08,17746,5520,383,12042,35691
2010-04-09,21676,4740,423,11439,38278
2010-04-10,24145,1781,486,6871,33283
2010-04-11,21005,718,414,3867,26004
2010-04-12,15241,5209,375,11084,31909
