## location: Mittenwald
## highway: B2
## id: 9274
date,pkw,lkw,mot,various,total
2016-01-01,5361,82,1,789,6233
2016-01-02,15289,211,0,2263,17763
2016-01-03,8904,114,0,1274,10292
2016-01-04,6623,169,0,1023,7815
2016-01-05,7233,164,1,1031,8429
2016-01-06,7325,97,0,913,8335
2016-01-07,5193,163,0,844,6200
2016-01-08,6166,171,0,1004,7341
2016-01-09,9032,213,0,1475,10720
2016-01-10,6429,100,1,973,7503
2016-01-11,4010,220,1,829,5060
2016-01-12,3538,198,0,800,4536
2016-01-13,3564,216,0,810,4590
2016-01-14,4778,196,1,913,5888
2016-01-15,5172,210,0,942,6324
2016-01-16,8170,228,0,1247,9645
2016-01-17,5533,110,0,775,6418
2016-01-18,4376,198,0,773,5347
2016-01-19,3810,192,1,780,4783
2016-01-20,3787,230,1,825,4843
2016-01-21,4611,207,0,898,5716
2016-01-22,6701,218,0,1024,7943
2016-01-23,8797,207,0,1218,10222
2016-01-24,7988,129,0,940,9057
2016-01-25,4702,237,0,884,5823
2016-01-26,4457,238,0,936,5631
2016-01-27,4808,234,2,950,5994
2016-01-28,5158,198,10,959,6325
2016-01-29,7099,251,5,1135,8490
2016-01-30,14075,253,6,1996,16330
2016-01-31,7161,147,4,1016,8328
2016-02-01,4875,220,3,854,5952
2016-02-02,5007,219,1,944,6171
2016-02-03,4145,224,0,911,5280
2016-02-04,4380,194,0,889,5463
2016-02-05,7615,249,1,1240,9105
2016-02-06,16867,269,2,2460,19598
2016-02-07,8189,114,0,1084,9387
2016-02-08,6091,210,0,987,7288
2016-02-09,5956,223,0,1029,7208
2016-02-10,5580,230,0,1039,6849
2016-02-11,6856,244,1,1126,8227
2016-02-12,9182,216,0,1338,10736
2016-02-13,16022,278,0,2212,18512
2016-02-14,9659,135,2,1184,10980
2016-02-15,4576,197,0,802,5575
2016-02-16,4023,209,1,767,5000
2016-02-17,4634,216,0,862,5712
2016-02-18,5835,226,0,1039,7100
2016-02-19,6964,233,1,1192,8390
2016-02-20,14244,280,1,1946,16471
2016-02-21,8956,151,2,1168,10277
2016-02-22,5546,203,8,877,6634
2016-02-23,4558,240,0,893,5691
2016-02-24,5072,233,1,901,6207
2016-02-25,4853,236,0,937,6026
2016-02-26,7466,237,1,1150,8854
2016-02-27,14807,245,0,1868,16920
2016-02-28,9267,153,0,1168,10588
2016-02-29,4666,236,2,938,5842
2016-03-01,3615,182,0,790,4587
2016-03-02,4725,239,0,936,5900
2016-03-03,5302,254,1,1077,6634
2016-03-04,7638,256,1,1184,9079
2016-03-05,14128,264,1,1903,16296
2016-03-06,9144,157,2,1138,10441
2016-03-07,4424,223,1,890,5538
2016-03-08,3984,217,0,846,5047
2016-03-09,5408,248,0,1023,6679
2016-03-10,5929,253,2,1090,7274
2016-03-11,7853,253,9,1314,9429
2016-03-12,13222,245,4,1745,15216
2016-03-13,10316,153,0,1272,11741
2016-03-14,5092,238,8,953,6291
2016-03-15,4092,271,0,979,5342
2016-03-16,5031,243,2,1054,6330
2016-03-17,6276,273,17,1201,7767
2016-03-18,8285,271,37,1467,10060
2016-03-19,15932,242,41,2202,18417
2016-03-20,10167,142,47,1377,11733
2016-03-21,5917,252,22,1141,7332
2016-03-22,5597,276,17,1233,7123
2016-03-23,6235,304,7,1413,7959
2016-03-24,10007,316,30,2012,12365
2016-03-25,12329,170,40,1808,14347
2016-03-26,13519,224,54,1901,15698
2016-03-27,7919,120,108,1199,9346
2016-03-28,12215,196,131,1900,14442
2016-03-29,7910,266,34,1486,9696
2016-03-30,6340,275,55,1266,7936
2016-03-31,6535,281,157,1277,8250
2016-04-01,7991,245,95,1545,9876
2016-04-02,10998,223,240,1672,13133
2016-04-03,7770,133,311,1213,9427
2016-04-04,4394,255,130,977,5756
2016-04-05,4373,277,126,1067,5843
2016-04-06,4214,275,26,1011,5526
2016-04-07,4539,224,17,1030,5810
2016-04-08,5718,254,21,1160,7153
2016-04-09,6273,164,18,914,7369
2016-04-10,6951,127,154,999,8231
2016-04-11,4637,240,117,1027,6021
2016-04-12,4353,331,69,1065,5818
2016-04-13,4261,304,70,1091,5726
2016-04-14,4694,261,34,1117,6106
2016-04-15,6204,254,81,1185,7724
2016-04-16,7174,195,214,1077,8660
2016-04-17,6179,129,62,969,7339
2016-04-18,4211,249,19,992,5471
2016-04-19,4057,293,59,1001,5410
2016-04-20,4715,329,226,1129,6399
2016-04-21,5100,318,327,1190,6935
2016-04-22,5938,319,153,1313,7723
2016-04-23,5969,189,70,1019,7247
2016-04-24,5286,98,26,784,6194
2016-04-25,4206,249,18,909,5382
2016-04-26,3883,287,21,968,5159
2016-04-27,3847,297,18,1010,5172
2016-04-28,4898,323,56,1253,6530
2016-04-29,6609,260,214,1294,8377
2016-04-30,7975,187,477,1130,9769
2016-05-01,6067,131,102,1073,7373
2016-05-02,4725,260,76,1092,6153
2016-05-03,4500,294,75,1175,6044
2016-05-04,6951,353,377,1663,9344
2016-05-05,9055,150,1670,1345,12220
2016-05-06,7776,289,863,1419,10347
2016-05-07,8570,161,1041,1252,11024
2016-05-08,11358,186,1454,1774,14772
2016-05-09,5748,291,334,1277,7650
2016-05-10,4843,284,144,1204,6475
2016-05-11,4914,315,148,1182,6559
2016-05-12,5463,291,140,1334,7228
2016-05-13,8982,335,189,2178,11684
2016-05-14,10026,205,287,1735,12253
2016-05-15,7879,117,296,1274,9566
2016-05-16,8242,167,328,1363,10100
2016-05-17,6649,315,197,1417,8578
2016-05-18,6629,290,231,1169,8319
2016-05-19,6552,300,92,1212,8156
2016-05-20,8555,268,340,1449,10612
2016-05-21,11492,255,791,1399,13937
2016-05-22,10605,205,777,1300,12887
2016-05-23,6619,261,137,1093,8110
2016-05-24,6180,313,131,1145,7769
2016-05-25,9614,345,596,1732,12287
2016-05-26,11499,165,1760,1426,14850
2016-05-27,10946,221,590,1285,13042
2016-05-28,13301,222,545,1378,15446
2016-05-29,13100,184,542,1401,15227
2016-05-30,6884,255,151,1083,8373
2016-05-31,5238,286,108,1009,6641
2016-06-01,5412,293,202,1238,7145
2016-06-02,5662,254,392,1158,7466
2016-06-03,6827,309,453,1400,8989
2016-06-04,8020,191,469,1192,9872
2016-06-05,7486,166,485,1127,9264
2016-06-06,5473,271,315,1209,7268
2016-06-07,5100,323,261,1248,6932
2016-06-08,5377,312,227,1223,7139
2016-06-09,5667,317,386,1321,7691
2016-06-10,7776,315,690,1459,10240
2016-06-11,8787,225,561,1299,10872
2016-06-12,7823,190,553,1190,9756
2016-06-13,5745,305,293,1281,7624
2016-06-14,7388,511,335,2060,10294
2016-06-15,5657,333,295,1320,7605
2016-06-16,5956,301,461,1348,8066
2016-06-17,7945,279,535,1525,10284
2016-06-18,9937,199,735,1386,12257
2016-06-19,9613,181,633,1414,11841
2016-06-20,6143,252,403,1287,8085
2016-06-21,5284,339,283,1275,7181
2016-06-22,6098,344,488,1326,8256
2016-06-23,6612,338,716,1433,9099
2016-06-24,8477,300,789,1655,11221
2016-06-25,10302,228,741,1549,12820
2016-06-26,9829,172,675,1425,12101
2016-06-27,6395,269,338,1353,8355
2016-06-28,6018,309,406,1369,8102
2016-06-29,6038,309,432,1310,8089
2016-06-30,6686,311,532,1416,8945
2016-07-01,8930,240,1725,1521,12416
2016-07-02,9546,220,2434,1382,13582
2016-07-03,9210,264,2366,1476,13316
2016-07-04,6851,384,756,1466,9457
2016-07-05,6081,366,371,1314,8132
2016-07-06,6326,328,368,1388,8410
2016-07-07,7021,320,691,1363,9395
2016-07-08,8815,246,944,1545,11550
2016-07-09,11829,242,834,1569,14474
2016-07-10,11058,199,1107,1530,13894
2016-07-11,7119,400,362,1560,9441
2016-07-12,6244,367,119,1429,8159
2016-07-13,6205,375,223,1451,8254
2016-07-14,6808,358,266,1497,8929
2016-07-15,8875,298,706,1594,11473
2016-07-16,12304,269,604,1718,14895
2016-07-17,11388,246,726,1545,13905
2016-07-18,7182,370,527,1464,9543
2016-07-19,6857,322,557,1322,9058
2016-07-20,7229,343,468,1436,9476
2016-07-21,7517,349,389,1654,9909
2016-07-22,8803,292,572,1632,11299
2016-07-23,11832,276,358,1837,14303
2016-07-24,10688,235,591,1580,13094
2016-07-25,7342,409,199,1535,9485
2016-07-26,6519,351,268,1458,8596
2016-07-27,6926,395,237,1464,9022
2016-07-28,7842,353,387,1510,10092
2016-07-29,10147,317,712,1871,13047
2016-07-30,13995,272,802,1993,17062
2016-07-31,11641,301,332,1983,14257
2016-08-01,8175,310,247,1465,10197
2016-08-02,7388,298,259,1393,9338
2016-08-03,7955,313,370,1436,10074
2016-08-04,8411,309,359,1456,10535
2016-08-05,10429,271,352,1663,12715
2016-08-06,12398,202,668,1546,14814
2016-08-07,12404,164,839,1673,15080
2016-08-08,9409,278,521,1567,11775
2016-08-09,7327,317,146,1449,9239
2016-08-10,8018,323,178,1415,9934
2016-08-11,8670,292,264,1463,10689
2016-08-12,11920,279,562,1838,14599
2016-08-13,14687,202,1013,1801,17703
2016-08-14,12946,155,937,1669,15707
2016-08-15,10969,223,764,1599,13555
2016-08-16,9470,294,379,1621,11764
2016-08-17,8934,301,270,1462,10967
2016-08-18,8721,255,281,1431,10688
2016-08-19,10740,266,555,1713,13274
2016-08-20,13987,204,622,1720,16533
2016-08-21,11485,171,526,1539,13721
2016-08-22,8515,261,329,1408,10513
2016-08-23,8283,297,430,1494,10504
2016-08-24,9087,300,400,1524,11311
2016-08-25,9436,298,413,1615,11762
2016-08-26,11957,297,718,1919,14891
2016-08-27,15876,219,850,1883,18828
2016-08-28,13924,183,860,1886,16853
2016-08-29,8514,268,232,1471,10485
