## location: Mittenwald
## highway: B2
## id: 9274
date,pkw,lkw,mot,various,total
2010-01-01,5924,78,1,833,6836
2010-01-02,12923,234,0,2011,15168
2010-01-03,9743,128,2,1270,11143
2010-01-04,7515,153,1,1090,8759
2010-01-05,8023,189,0,1205,9417
2010-01-06,7055,83,0,859,7997
2010-01-07,5412,150,0,779,6341
2010-01-08,5048,142,0,849,6039
2010-01-09,6401,194,0,1037,7632
2010-01-10,5258,92,0,729,6079
2010-01-11,3410,170,1,660,4241
2010-01-12,3669,161,0,692,4522
2010-01-13,4225,204,1,773,5203
2010-01-14,4561,174,0,748,5483
2010-01-15,6102,196,1,924,7223
2010-01-16,9920,217,0,1245,11382
2010-01-17,5733,89,3,662,6487
2010-01-18,4084,190,0,748,5022
2010-01-19,4648,183,0,778,5609
2010-01-20,5384,216,0,858,6458
2010-01-21,4152,200,0,750,5102
2010-01-22,6117,204,0,945,7266
2010-01-23,10643,197,2,1252,12094
2010-01-24,7526,110,1,914,8551
2010-01-25,4460,211,3,792,5466
2010-01-26,3382,176,0,661,4219
2010-01-27,4829,222,3,845,5899
2010-01-28,3648,207,2,724,4581
2010-01-29,5671,185,0,838,6694
2010-01-30,10074,231,0,1314,11619
2010-01-31,7241,110,4,834,8189
2010-02-01,4627,162,6,719,5514
2010-02-02,4249,199,2,745,5195
2010-02-03,3739,225,1,733,4698
2010-02-04,5125,209,0,809,6143
2010-02-05,6028,162,0,903,7093
2010-02-06,10544,263,2,1507,12316
2010-02-07,6406,108,1,739,7254
2010-02-08,5092,195,2,751,6040
2010-02-09,4995,183,1,833,6012
2010-02-10,4112,205,1,739,5057
2010-02-11,3527,168,1,679,4375
2010-02-12,6280,179,0,1016,7475
2010-02-13,13621,206,2,1878,15707
2010-02-14,7961,71,0,919,8951
2010-02-15,5724,195,0,923,6842
2010-02-16,6350,186,1,963,7500
2010-02-17,6900,242,4,1068,8214
2010-02-18,6138,240,3,1032,7413
2010-02-19,8171,234,1,1253,9659
2010-02-20,13510,228,0,1895,15633
2010-02-21,9703,110,5,1018,10836
2010-02-22,4785,214,2,834,5835
2010-02-23,4974,174,4,754,5906
2010-02-24,5192,219,4,852,6267
2010-02-25,5611,241,9,905,6766
2010-02-26,6798,206,3,1013,8020
2010-02-27,12179,189,12,1412,13792
2010-02-28,8804,110,13,959,9886
2010-03-01,5328,227,9,865,6429
2010-03-02,4581,190,2,764,5537
2010-03-03,5078,263,1,849,6191
2010-03-04,5080,208,2,837,6127
2010-03-05,6023,228,1,988,7240
2010-03-06,8276,225,0,1167,9668
2010-03-07,8175,133,1,907,9216
2010-03-08,4960,191,2,838,5991
2010-03-09,4697,207,2,857,5763
2010-03-10,4750,221,1,897,5869
2010-03-11,4316,178,2,759,5255
2010-03-12,6851,215,0,958,8024
2010-03-13,9558,178,3,1218,10957
2010-03-14,7807,112,4,921,8844
2010-03-15,4236,218,0,792,5246
2010-03-16,3409,199,0,725,4333
2010-03-17,5568,243,4,906,6721
2010-03-18,5751,237,24,907,6919
2010-03-19,6747,194,49,1068,8058
2010-03-20,9299,175,29,1152,10655
2010-03-21,6989,96,22,830,7937
2010-03-22,4483,231,28,911,5653
2010-03-23,4511,234,42,864,5651
2010-03-24,4967,259,96,935,6257
2010-03-25,5267,211,49,931,6458
2010-03-26,6524,267,63,1254,8108
2010-03-27,9544,189,42,1411,11186
2010-03-28,6534,109,23,961,7627
2010-03-29,5117,230,41,1000,6388
2010-03-30,5458,250,46,1100,6854
2010-03-31,5887,277,25,1211,7400
2010-04-01,7535,268,22,1668,9493
2010-04-02,11316,120,133,1444,13013
2010-04-03,9953,178,124,1392,11647
2010-04-04,5862,75,40,906,6883
2010-04-05,8018,132,50,1263,9463
2010-04-06,7067,224,127,1225,8643
2010-04-07,6266,289,224,1192,7971
2010-04-08,5816,255,144,1223,7438
2010-04-09,6797,243,156,1390,8586
2010-04-10,9202,206,110,1557,11075
2010-04-11,6495,106,44,990,7635
2010-04-12,4280,238,19,925,5462
2010-04-13,4013,216,34,822,5085
2010-04-14,3871,206,5,788,4870
2010-04-15,4190,250,42,980,5462
2010-04-16,5760,198,110,1025,7093
2010-04-17,6738,161,289,943,8131
2010-04-18,6502,106,162,872,7642
2010-04-19,4408,226,93,953,5680
2010-04-20,4229,231,50,899,5409
2010-04-21,4413,314,51,993,5771
2010-04-22,4765,243,156,1007,6171
2010-04-23,5836,254,230,1115,7435
2010-04-24,6633,148,487,890,8158
2010-04-25,7509,113,694,913,9229
2010-04-26,4328,232,44,953,5557
2010-04-27,4056,250,85,916,5307
