"year","month","temperature","precipitation"
1952,"Jan",-6,54.3
1952,"Feb",-2.8,67.6
1952,"Mar",3.7,55.5
1952,"Apr",11.1,37.1
1952,"May",12.8,75.6
1952,"Jun",16.7,101
1952,"Jul",19.3,81.9
1952,"Aug",18.1,120.5
1952,"Sep",11.4,91.2
1952,"Oct",7.3,88.8
1952,"Nov",-0.3,115
1952,"Dec",-3.6,51.5
1953,"Jan",-6.6,12.6
1953,"Feb",-2.7,10.8
1953,"Mar",5.2,18.1
1953,"Apr",10.1,74.3
1953,"May",13.2,60.8
1953,"Jun",15.8,96.3
1953,"Jul",18.5,238.8
1953,"Aug",16.6,77.6
1953,"Sep",15,31.5
1953,"Oct",11.1,34.4
1953,"Nov",2.5,5.3
1953,"Dec",1.2,44.4
1954,"Jan",-5.7,101.3
1954,"Feb",-2.8,23
1954,"Mar",6.1,30.8
1954,"Apr",6.9,80.3
1954,"May",11,113.6
1954,"Jun",16.3,143.1
1954,"Jul",15.2,258.8
1954,"Aug",16.1,104.7
1954,"Sep",14.4,80.1
1954,"Oct",8.2,62.1
1954,"Nov",2.8,30.5
1954,"Dec",0.6,131.5
1955,"Jan",-1.8,53
1955,"Feb",-1.3,100.5
1955,"Mar",1.5,34.8
1955,"Apr",7.7,117.1
1955,"May",11.9,104.5
1955,"Jun",15.9,114.9
1955,"Jul",17.5,153.6
1955,"Aug",16.4,44.2
1955,"Sep",13.6,137.5
1955,"Oct",7.9,64.5
1955,"Nov",1.7,24.5
1955,"Dec",1.1,64.8
1956,"Jan",-0.8,75.5
1956,"Feb",-13,34.3
1956,"Mar",4.1,111.5
1956,"Apr",7.4,64
1956,"May",12.6,103.3
1956,"Jun",13.6,194.5
1956,"Jul",18.4,118.9
1956,"Aug",17,135.7
1956,"Sep",15.3,106.9
1956,"Oct",7.3,122.2
1956,"Nov",0.9,33.9
1956,"Dec",-2.5,30.8
1957,"Jan",-3.4,46.9
1957,"Feb",3.6,63.1
1957,"Mar",7.9,29.2
1957,"Apr",8.4,72.5
1957,"May",10.3,67.6
1957,"Jun",17.2,105.7
1957,"Jul",17.4,162.7
1957,"Aug",16.3,175.5
1957,"Sep",12.7,78.1
1957,"Oct",9,41.1
1957,"Nov",4,22.6
1957,"Dec",-0.4,16
1958,"Jan",-4.4,67.1
1958,"Feb",0.7,102.5
1958,"Mar",-0.3,45.2
1958,"Apr",7,67.8
1958,"May",15.7,29
1958,"Jun",15.9,113.5
1958,"Jul",18.6,88.9
1958,"Aug",17.9,92.9
1958,"Sep",15.4,141.3
1958,"Oct",8.6,164.7
1958,"Nov",2.7,47.8
1958,"Dec",-0.6,83
1959,"Jan",-3,27.8
1959,"Feb",1.3,9.7
1959,"Mar",7.5,53.6
1959,"Apr",9.6,46.8
1959,"May",13.2,154.1
1959,"Jun",15.9,166.2
1959,"Jul",18.5,88.2
1959,"Aug",17,46.9
1959,"Sep",14.1,29.5
1959,"Oct",8.5,53.6
1959,"Nov",3,60.6
1959,"Dec",-0.1,73.8
1960,"Jan",-3.5,66.9
1960,"Feb",1,54.2
1960,"Mar",6.1,90.7
1960,"Apr",8.5,52.4
1960,"May",13.6,40.3
1960,"Jun",17.3,90.5
1960,"Jul",15.9,154.7
1960,"Aug",17,134.3
1960,"Sep",13.1,140.6
1960,"Oct",9.3,52.8
1960,"Nov",4.4,49.9
1960,"Dec",-2.1,100.1
1961,"Jan",-3.8,16.7
1961,"Feb",1.9,76.1
1961,"Mar",6.3,28.1
1961,"Apr",12.1,41.4
1961,"May",11.4,169.4
1961,"Jun",17.3,62.6
1961,"Jul",16.8,77.4
1961,"Aug",16.9,115.8
1961,"Sep",17.4,20.4
1961,"Oct",10.5,57.4
1961,"Nov",3.3,25
1961,"Dec",-1.5,102.2
1962,"Jan",-1.7,98.3
1962,"Feb",-1.3,64.2
1962,"Mar",2.1,40.4
1962,"Apr",8.5,67.6
1962,"May",11.1,154.5
1962,"Jun",14.5,70.9
1962,"Jul",17.2,142
1962,"Aug",18.5,73.3
1962,"Sep",13.8,87.2
1962,"Oct",9.5,45
1962,"Nov",2.6,21.5
1962,"Dec",-6.9,132.6
1963,"Jan",-8.1,41.3
1963,"Feb",-5.9,3.1
1963,"Mar",2.5,42.5
1963,"Apr",10.1,41.3
1963,"May",12.7,90.2
1963,"Jun",16.7,85.1
1963,"Jul",19.2,123.6
1963,"Aug",17.2,179.5
1963,"Sep",15.3,67.4
1963,"Oct",8.7,13.4
1963,"Nov",6.7,72.9
1963,"Dec",-4.7,18.9
1964,"Jan",-5,8.8
1964,"Feb",2.1,32.1
1964,"Mar",3.9,56.2
1964,"Apr",10.3,90.9
1964,"May",15.2,64.8
1964,"Jun",18.4,126.4
1964,"Jul",19,123.1
1964,"Aug",17.2,143.6
1964,"Sep",14.9,72.1
1964,"Oct",7.6,181.3
1964,"Nov",4.2,91
1964,"Dec",-4.1,46.4
1965,"Jan",-0.4,40.2
1965,"Feb",-4.1,41.6
1965,"Mar",4.6,71.7
1965,"Apr",7.3,87.4
1965,"May",11.9,141.6
1965,"Jun",16.9,178.7
1965,"Jul",17.1,145.4
1965,"Aug",16.2,105.2
1965,"Sep",13.5,123.5
1965,"Oct",8.9,0.4
1965,"Nov",3,57.7
1965,"Dec",-0.9,108
1966,"Jan",-5.4,24.8
1966,"Feb",4.2,35
1966,"Mar",3.7,56.3
1966,"Apr",10.5,34.8
1966,"May",13,147.6
1966,"Jun",17.4,148.7
1966,"Jul",16.1,287.4
1966,"Aug",15.1,239.3
1966,"Sep",15.6,66.5
1966,"Oct",12.6,67.7
1966,"Nov",1.6,137.3
1966,"Dec",-2.6,98.4
1967,"Jan",-3.3,66.4
1967,"Feb",0.8,23.4
1967,"Mar",5.6,94.9
1967,"Apr",7.1,62.2
1967,"May",13.2,96.3
1967,"Jun",15.3,121
1967,"Jul",19.3,90
1967,"Aug",17.9,81.6
1967,"Sep",14.1,121.4
1967,"Oct",10.9,60
1967,"Nov",4.3,44.4
1967,"Dec",-2.7,29.5
1968,"Jan",-4.5,121.9
1968,"Feb",0.6,21.2
1968,"Mar",4.6,36.6
