"","total","date","month","wday"
"1",7544,2017-01-01,"Jan","Sun"
"2",12644,2017-01-02,"Jan","Mon"
"3",8652,2017-01-03,"Jan","Tue"
"4",6416,2017-01-04,"Jan","Wed"
"5",6415,2017-01-05,"Jan","Thu"
"6",8092,2017-01-06,"Jan","Fri"
"7",11302,2017-01-07,"Jan","Sat"
"8",6686,2017-01-08,"Jan","Sun"
"9",5256,2017-01-09,"Jan","Mon"
"10",5241,2017-01-10,"Jan","Tue"
"11",4932,2017-01-11,"Jan","Wed"
"12",5051,2017-01-12,"Jan","Thu"
"13",6049,2017-01-13,"Jan","Fri"
"14",8160,2017-01-14,"Jan","Sat"
"15",6505,2017-01-15,"Jan","Sun"
"16",4747,2017-01-16,"Jan","Mon"
"17",4547,2017-01-17,"Jan","Tue"
"18",5625,2017-01-18,"Jan","Wed"
"19",5861,2017-01-19,"Jan","Thu"
"20",7812,2017-01-20,"Jan","Fri"
"21",12347,2017-01-21,"Jan","Sat"
"22",9040,2017-01-22,"Jan","Sun"
"23",5833,2017-01-23,"Jan","Mon"
"24",5829,2017-01-24,"Jan","Tue"
"25",6203,2017-01-25,"Jan","Wed"
"26",6454,2017-01-26,"Jan","Thu"
"27",8497,2017-01-27,"Jan","Fri"
"28",14817,2017-01-28,"Jan","Sat"
"29",10280,2017-01-29,"Jan","Sun"
"30",6277,2017-01-30,"Jan","Mon"
"31",5421,2017-01-31,"Jan","Tue"
"32",6237,2017-02-01,"Feb","Wed"
"33",6421,2017-02-02,"Feb","Thu"
"34",8738,2017-02-03,"Feb","Fri"
"35",14442,2017-02-04,"Feb","Sat"
"36",9202,2017-02-05,"Feb","Sun"
"37",5681,2017-02-06,"Feb","Mon"
"38",6096,2017-02-07,"Feb","Tue"
"39",6081,2017-02-08,"Feb","Wed"
"40",6644,2017-02-09,"Feb","Thu"
"41",9473,2017-02-10,"Feb","Fri"
"42",16856,2017-02-11,"Feb","Sat"
"43",9971,2017-02-12,"Feb","Sun"
"44",7089,2017-02-13,"Feb","Mon"
"45",6904,2017-02-14,"Feb","Tue"
"46",7607,2017-02-15,"Feb","Wed"
"47",7683,2017-02-16,"Feb","Thu"
"48",8820,2017-02-17,"Feb","Fri"
"49",17835,2017-02-18,"Feb","Sat"
"50",11171,2017-02-19,"Feb","Sun"
"51",6944,2017-02-20,"Feb","Mon"
"52",6347,2017-02-21,"Feb","Tue"
"53",7070,2017-02-22,"Feb","Wed"
"54",7266,2017-02-23,"Feb","Thu"
"55",10381,2017-02-24,"Feb","Fri"
"56",18439,2017-02-25,"Feb","Sat"
"57",10741,2017-02-26,"Feb","Sun"
"58",8101,2017-02-27,"Feb","Mon"
"59",7262,2017-02-28,"Feb","Tue"
"60",8524,2017-03-01,"Mar","Wed"
"61",8227,2017-03-02,"Mar","Thu"
"62",12439,2017-03-03,"Mar","Fri"
"63",20323,2017-03-04,"Mar","Sat"
"64",11771,2017-03-05,"Mar","Sun"
"65",6505,2017-03-06,"Mar","Mon"
"66",5639,2017-03-07,"Mar","Tue"
"67",6931,2017-03-08,"Mar","Wed"
"68",7232,2017-03-09,"Mar","Thu"
"69",9720,2017-03-10,"Mar","Fri"
"70",16553,2017-03-11,"Mar","Sat"
"71",12824,2017-03-12,"Mar","Sun"
"72",7150,2017-03-13,"Mar","Mon"
"73",6842,2017-03-14,"Mar","Tue"
"74",7350,2017-03-15,"Mar","Wed"
"75",8089,2017-03-16,"Mar","Thu"
